anio,mes,multilateral,usd,real,peso_chileno,euro,libra_esterlina,guarani,nuevo_shekel,peso_mexicano,peso_uruguayo
2009,Febrero,221.9279482,191.6661825,243.7814525,220.1197307,265.1386123,181.3956925,260.2873765,184.9562883,133.9246273,192.4258322
2009,Marzo,236.9062746,199.1319021,262.8001445,238.381306,288.8022388,189.1143322,267.7503001,190.27336,146.4301695,193.5372578
2009,Abril,238.1973452,199.0880763,275.3982853,229.0252592,287.4051208,194.391096,269.7684908,190.1885317,152.7841627,194.7892177
2009,Mayo,249.9251807,200.4078821,299.4973904,241.9291723,303.2100294,212.4813697,268.7714651,204.9226998,158.7198214,199.7088212
2009,Junio,259.3324071,203.9640186,315.9942137,262.1378207,310.242719,222.7985977,274.3370716,210.5096199,160.9091778,207.4319401
2009,Julio,259.7427828,203.9608018,326.6088982,253.6720158,308.9363449,222.0041941,277.6341371,219.7214451,161.2630909,207.9179688
2009,Agosto,267.763864,207.4859856,341.1136829,254.2134678,320.1896106,223.9385284,285.570282,224.3471099,164.0880335,221.3443364
2009,Septiembre,265.7214977,202.5994205,341.6955749,252.7556742,318.7034058,213.9876362,282.3594464,221.0593627,157.2665024,225.4932001
2009,Octubre,265.2849096,199.3352902,346.431131,247.9926975,317.5681694,217.7155255,283.43462,217.8823065,158.5173469,225.3612106
2009,Noviembre,262.1890806,193.7163614,336.0159287,255.1592059,313.592505,212.6773879,279.8202483,209.5704339,158.0293144,225.1057436
2009,Diciembre,260.8952997,195.7279281,343.203507,248.6335024,304.4885596,208.8366901,277.239759,212.6349824,159.676523,233.347577
2010,Enero,252.4173389,194.4381691,318.3633005,240.419292,292.2613201,209.8346497,274.9374963,212.5462851,160.7252699,233.3636448
2010,Febrero,253.3675907,194.3969535,326.2965026,247.8021069,282.5747854,198.8687155,288.4700056,209.1854441,163.22452,242.6977097
2010,Marzo,250.5126911,193.3142363,330.4988221,235.626173,281.3634659,195.1915911,274.1010125,211.4073251,168.2985374,233.293431
2010,Abril,251.1919501,192.0882995,338.260077,239.7181656,277.133699,198.3321943,274.0369599,210.043823,168.9223793,234.515382
2010,Mayo,246.0052813,193.5235579,330.7046534,247.3190985,257.889436,188.4414529,279.4444398,206.8935588,159.6813723,244.4335897
2010,Junio,240.3862116,192.2626898,332.1121081,232.4954585,255.0015787,195.6953839,269.0668404,203.671171,160.0754036,217.6494383
2010,Julio,245.8559243,190.7293867,334.5119456,239.9260981,269.7811869,200.6819184,267.1607554,207.8360046,160.8648297,218.5320433
2010,Agosto,239.3907754,186.5623035,320.9607822,243.0924775,257.9471283,195.8560341,267.5686524,202.547243,153.5069864,217.8617363
2010,Septiembre,254.8618168,190.2019513,346.2612712,260.6345336,280.8805112,203.1705436,268.0133214,215.8114725,164.0709205,228.5576812
2010,Octubre,253.9887307,187.4608152,344.8878551,255.1988783,284.2700954,203.4247079,261.6058049,214.34406,164.1308108,227.4370836
2010,Noviembre,250.7357276,187.9446494,343.9527863,256.69265,269.7965958,198.8278871,274.2142494,212.8278468,163.9380328,228.730871
2010,Diciembre,253.8505443,186.4713818,354.9201429,263.9815185,270.1349549,197.4942253,282.6600612,218.9510481,164.6958136,229.5390999
2011,Enero,256.0744844,187.0584294,354.9709577,258.1205615,274.8727376,202.1975542,291.7079334,197.7692228,167.4723471,237.8281519
2011,Febrero,259.9149812,188.0353847,361.7624535,263.9474982,279.138381,207.198081,293.9458369,201.6851022,169.281091,239.8149843
